id,question_type,question,answer
681,research,what research (or clinical trials) is being done for Striatonigral Degeneration ?,The NINDS supports and conducts research on disorders of the brain and nervous system such as striatonigral degeneration. This research focuses on finding ways to prevent and treat these disorders.
388,research,what research (or clinical trials) is being done for Attention Deficit-Hyperactivity Disorder ?,"Several components of the NIH support research on developmental disorders such as ADHD. Research programs of the NINDS, the National Institute of Mental Health (NIMH), and the National Institute of Child Health and Human Development (NICHD) seek to address unanswered questions about the causes of ADHD, as well as to improve diagnosis and treatment."
370,research,what research (or clinical trials) is being done for Alexander Disease ?,"Recent discoveries show that most individuals (approximately 90 percent) with Alexander disease have a mutation in the gene that makes glial fibrillary acidic protein (GFAP). GFAP is a normal component of the brain, but it is unclear how the mutations in this genecauses the disease. In most cases mutations occur spontaneously are not inherited from parents.A small number of people thought to have Alexander disease do not have identifiable mutations in GFAP, which leads researchers to believe that there may be other genetic or perhaps even non-genetic causes of Alexander disease. Current research is aimed at understanding the mechanisms by which the mutations cause disease, developing better animal models for the disorder, and exploring potential strategies for treatment. At present, there is no exact animal model for the disease; however, mice have been engineered to produce the same mutant forms of GFAP found in individuals with Alexander disease. These mice form Rosenthal fibers and have a predisposition for seizures, but do not yet mimic all features of human disease (such as the leukodystrophies). One clinical study is underway to identify biomarkers of disease severity or progression in samples of blood or cerebrospinal fluid. Such biomarkers, if found, would be a major advantage for evaluating the response to any treatments that are developed in the future."
700,research,what research (or clinical trials) is being done for Transient Ischemic Attack ?,NINDS is the leading supporter of research on stroke and TIA in the U.S. and sponsors studies ranging from clinical trials to investigations of basic biological mechanisms as well as studies with animals.
412,research,what research (or clinical trials) is being done for Cerebral Aneurysms ?,The National Institute of Neurological Disorders and Stroke (NINDS) conducts research in its laboratories at the National Institutes of Health (NIH) and also supports additional research through grants to major medical institutions. The NINDS supports a broad range of basic and clinical research on intracranial aneurysms and other vascular lesions of the nervous system. The Familial Intracranial Aneurysm study seeks to identify possible genes that may increase the risk of development of aneurysms in blood vessels in the brain. Other research projects include genome-wide studies to identify genes or DNA sequences that may indicate families harboring one type of aneurysm may be at increased risk of another type; studies of chromosomes to identify aneurysm-related genes; and additional research on microsurgical clipping and endovascular surgery to treat various types of ruptured and unruptured aneurysms.
594,research,what research (or clinical trials) is being done for Neurological Consequences of Cytomegalovirus Infection ?,"The National Institute of Neurological Disorders and Stroke (NINDS), and other institutes of the National Institutes of Health (NIH), conduct research related to CMV infection in laboratories at the NIH, and support additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent and treat CMV infection in people at risk of severe neurological consequences, especially a safe and effective CMV vaccine."
431,research,what research (or clinical trials) is being done for Childhood Hodgkin Lymphoma ?,"New types of treatment are being tested in clinical trials.
                    This summary section describes treatments that are being studied in clinical trials. It may not mention every new treatment being studied. Information about clinical trials is available from the NCI website.     Proton beam radiation therapy     Proton-beam therapy is a type of high-energy, external radiation therapy that uses streams of protons (small, positively-charged particles of matter) to make radiation. This type of radiation therapy may help lessen the damage to healthy tissue near the tumor.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials."
474,research,what research (or clinical trials) is being done for Epilepsy ?,"Scientists are studying the underlying causes of the epilepsies in children, adults, and the elderly, as well as seizures that occur following brain trauma, stroke, and brain tumors. Ongoing research is focused on developing new model systems that can be used to more quickly screen potential new treatments for the epilepsies. The identification of genes or other genetic information that may influence or cause the epilepsies may allow doctors to prevent the disorders or to predict which treatments will be most beneficial to individuals with specific types of epilepsy. Scientists also continue to study how neurotransmitters interact with brain cells to control nerve firing and how non-neuronal cells in the brain contribute to seizures. Researchers funded by the National Institutes of Health have developed a flexible brain implant that could one day be used to treat seizures. Scientists are continually improving MRI and other brain scans that may assist in diagnosing the epilepsies and identify the source, or focus, of the seizures in the brain. Other areas of study include prevention of seizures and the role of inflammation in epilepsy. Patients may enter trials of experimental drugs and surgical interventions.
                
More about epilepsy research"
660,research,what research (or clinical trials) is being done for Reye's Syndrome ?,"Much of the research on RS focuses on answering fundamental questions about the disorder such as how problems in the body's metabolism may trigger the nervous system damage characteristic of RS and what role aspirin plays in this life-threatening disorder. The ultimate goal of this research is to improve scientific understanding, diagnosis and medical treatment of RS."
481,research,what research (or clinical trials) is being done for Familial Periodic Paralyses ?,"The NINDS conducts and supports research on neuromuscular disorders such as the familial periodic paralyses. These studies are aimed at increasing knowledge about these disorders and finding ways to prevent, treat, and cure them."
